address_folder,best_image,best_rank_key,reason
1-29BEACH133STREET,Side2_2012-10_P_PwZZg_H_251_Off_-5.jpg,"(1, 1, 1, 1, 0.9523818492889404, -0.17276760175191797)",entrance=1 door=1 stairs=1 goodStairs=1 inFOV=True s_door=0.95 s_stairs=0.92 s_entr=0.95 dist=0.173
1-34BEACH133STREET,Side1_2012-10_P_PwZZg_H_35_Off_0.jpg,"(1, 1, 1, 1, 0.8502046465873718, -0.14231239121296835)",entrance=1 door=1 stairs=1 goodStairs=1 inFOV=True s_door=0.85 s_stairs=0.94 s_entr=0.85 dist=0.142
1-37BEACH137STREET,Side1_2022-07_P_DPskA_H_236_Off_10.jpg,"(1, 1, 0, 1, 0.8952096104621887, -0.10773233525728722)",entrance=1 door=1 stairs=0 goodStairs=0 inFOV=True s_door=0.90 s_stairs=0.00 s_entr=0.90 dist=0.108
1-37BEACH138STREET,Center_2022-07_P_iEK9w_H_243_Off_-5.jpg,"(1, 1, 1, 1, 0.9242810010910034, -0.11214241402449972)",entrance=1 door=1 stairs=1 goodStairs=1 inFOV=True s_door=0.92 s_stairs=0.94 s_entr=0.92 dist=0.112
1-38BEACH133STREET,Center_2018-07_P_m7NoQ_H_68_Off_0.jpg,"(1, 1, 1, 1, 0.8040307760238647, -0.06851413143773603)",entrance=1 door=1 stairs=1 goodStairs=1 inFOV=True s_door=0.80 s_stairs=0.98 s_entr=0.80 dist=0.069
1-40BEACH134STREET,Side2_2007-09_P_wwtog_H_72_Off_-10.jpg,"(1, 1, 1, 1, 0.18480169773101807, -0.3200055662307381)",entrance=1 door=1 stairs=1 goodStairs=1 inFOV=True s_door=0.18 s_stairs=0.55 s_entr=0.18 dist=0.320
1-40BEACH137STREET,Side2_2022-07_P_Avv2A_H_92_Off_-5.jpg,"(1, 1, 1, 1, 0.9805497527122498, -0.0028592598418248996)",entrance=1 door=1 stairs=1 goodStairs=1 inFOV=True s_door=0.98 s_stairs=0.85 s_entr=0.98 dist=0.003
1-40BEACH142STREET,Side1_2022-07_P_Ej2gg_H_51_Off_-10.jpg,"(1, 1, 1, 1, 0.29851192235946655, -0.19919140996468818)",entrance=1 door=1 stairs=1 goodStairs=1 inFOV=True s_door=0.30 s_stairs=0.96 s_entr=0.30 dist=0.199
1-41BEACH137STREET,Center_2022-07_P_Avv2A_H_247_Off_10.jpg,"(1, 1, 1, 1, 0.08604172617197037, -0.03519525687948858)",entrance=1 door=1 stairs=1 goodStairs=1 inFOV=True s_door=0.09 s_stairs=0.52 s_entr=0.09 dist=0.035
1-42BEACH133STREET,Center_2018-07_P_9C7eg_H_88_Off_10.jpg,"(1, 1, 1, 1, 0.7350858449935913, -0.1395197896656186)",entrance=1 door=1 stairs=1 goodStairs=1 inFOV=True s_door=0.74 s_stairs=0.57 s_entr=0.74 dist=0.140
1-44BEACH134STREET,Center_2007-09_P_wwtog_H_43_Off_-10.jpg,"(1, 1, 1, 1, 0.4298270046710968, -0.03977046595643778)",entrance=1 door=1 stairs=1 goodStairs=1 inFOV=True s_door=0.43 s_stairs=0.53 s_entr=0.43 dist=0.040
1-44BEACH138STREET,Side2_2022-07_P_s0iLw_H_88_Off_-10.jpg,"(1, 1, 1, 1, 0.45506560802459717, -0.13525188517246847)",entrance=1 door=1 stairs=1 goodStairs=1 inFOV=True s_door=0.46 s_stairs=0.50 s_entr=0.46 dist=0.135
1-44BEACH142STREET,Center_2022-07_P__tNAA_H_81_Off_10.jpg,"(1, 1, 1, 1, 0.9204081296920776, -0.048809744169968854)",entrance=1 door=1 stairs=1 goodStairs=1 inFOV=True s_door=0.92 s_stairs=0.97 s_entr=0.92 dist=0.049
1-45BEACH133STREET,Center_2018-07_P_9C7eg_H_239_Off_-5.jpg,"(1, 1, 1, 1, 0.9690852165222168, -0.02159024870444296)",entrance=1 door=1 stairs=1 goodStairs=1 inFOV=True s_door=0.97 s_stairs=0.97 s_entr=0.97 dist=0.022
1-45BEACH137STREET,Side1_2022-07_P_zrTNg_H_234_Off_10.jpg,"(1, 1, 1, 1, 0.8612108826637268, -0.1631119187908386)",entrance=1 door=1 stairs=1 goodStairs=1 inFOV=True s_door=0.86 s_stairs=0.95 s_entr=0.86 dist=0.163
1-48BEACH134STREET,Side2_2007-09_P_XSKEw_H_89_Off_0.jpg,"(1, 1, 1, 1, 0.8117157816886902, -0.0840896949141941)",entrance=1 door=1 stairs=1 goodStairs=1 inFOV=True s_door=0.81 s_stairs=0.94 s_entr=0.81 dist=0.084
1-48BEACH142STREET,Side2_2022-07_P_zgf4Q_H_83_Off_5.jpg,"(1, 1, 1, 1, 0.8967865705490112, -0.1979951370312526)",entrance=1 door=1 stairs=1 goodStairs=1 inFOV=True s_door=0.90 s_stairs=0.95 s_entr=0.90 dist=0.198
1-49BEACH133STREET,Side2_2018-07_P_7Nung_H_280_Off_-10.jpg,"(1, 1, 1, 1, 0.9546189308166504, -0.01787620608739432)",entrance=1 door=1 stairs=1 goodStairs=1 inFOV=True s_door=0.95 s_stairs=0.88 s_entr=0.95 dist=0.018
1-49BEACH137STREET,Center_2022-07_P_zrTNg_H_256_Off_-5.jpg,"(1, 1, 1, 1, 0.9522234797477722, -0.014461921623480133)",entrance=1 door=1 stairs=1 goodStairs=1 inFOV=True s_door=0.95 s_stairs=0.98 s_entr=0.95 dist=0.014
1-49BEACH138STREET,Center_2022-07_P_s0iLw_H_260_Off_5.jpg,"(1, 1, 1, 1, 0.9472306966781616, -0.04558622397728421)",entrance=1 door=1 stairs=1 goodStairs=1 inFOV=True s_door=0.95 s_stairs=0.94 s_entr=0.95 dist=0.046
1-50BEACH134STREET,Side2_2007-09_P_nhwww_H_84_Off_-10.jpg,"(1, 1, 1, 1, 0.808424174785614, -0.14795234112228825)",entrance=1 door=1 stairs=1 goodStairs=1 inFOV=True s_door=0.81 s_stairs=0.90 s_entr=0.81 dist=0.148
1-51BEACH137STREET,Side2_2022-07_P_zrTNg_H_267_Off_-10.jpg,"(1, 1, 1, 1, 0.2476026564836502, -0.08812224746475726)",entrance=1 door=1 stairs=1 goodStairs=1 inFOV=True s_door=0.25 s_stairs=0.98 s_entr=0.25 dist=0.088
1-53BEACH133STREET,Center_2018-07_P_Fc3ew_H_234_Off_-5.jpg,"(1, 1, 1, 1, 0.9090872406959534, -0.17406364566695876)",entrance=1 door=1 stairs=1 goodStairs=1 inFOV=True s_door=0.91 s_stairs=0.99 s_entr=0.91 dist=0.174
1-53BEACH134STREET,Side1_2007-09_P_vhBfA_H_211_Off_5.jpg,"(1, 1, 1, 1, 0.8547387719154358, -0.11962124490607232)",entrance=1 door=1 stairs=1 goodStairs=1 inFOV=True s_door=0.85 s_stairs=0.99 s_entr=0.85 dist=0.120
1-54BEACH137STREET,Side1_2022-07_P_zrTNg_H_44_Off_-5.jpg,"(1, 1, 1, 1, 0.9753788113594055, -0.06884166097644726)",entrance=1 door=1 stairs=1 goodStairs=1 inFOV=True s_door=0.98 s_stairs=0.75 s_entr=0.98 dist=0.069
1-54BEACH138STREET,Side2_2022-07_P_iO3Eg_H_97_Off_-5.jpg,"(1, 1, 1, 1, 0.9646894931793213, -0.1642351112819311)",entrance=1 door=1 stairs=1 goodStairs=1 inFOV=True s_door=0.96 s_stairs=0.96 s_entr=0.96 dist=0.164
1-54BEACH142STREET,Center_2022-07_P_tnhaw_H_74_Off_0.jpg,"(1, 1, 1, 1, 0.9450796246528625, -0.01881488774396876)",entrance=1 door=1 stairs=1 goodStairs=1 inFOV=True s_door=0.95 s_stairs=0.91 s_entr=0.95 dist=0.019
1-55BEACH133STREET,Center_2018-07_P_ArYeg_H_241_Off_-10.jpg,"(1, 1, 1, 1, 0.9730321168899536, -0.11182199073843577)",entrance=1 door=1 stairs=1 goodStairs=1 inFOV=True s_door=0.97 s_stairs=0.99 s_entr=0.97 dist=0.112
1-55BEACH137STREET,Center_2021-11_P_Gzrww_H_249_Off_5.jpg,"(1, 1, 0, 1, 0.8756303787231445, -0.060390669410948165)",entrance=1 door=1 stairs=1 goodStairs=0 inFOV=True s_door=0.88 s_stairs=0.16 s_entr=0.88 dist=0.060
