address_folder,best_image,best_score,has_door,has_stairs,stairs_under_door,reason
1-29BEACH133STREET,Side2_2012-10_P_PwZZg_H_256_Off_0.jpg,82.4,1,1,1,door_conf=0.91 | door_size=0.011 | center=0.88 | stairs_conf=0.92 | stairs_under=True | align=0.74
1-34BEACH133STREET,Side1_2012-10_P_PwZZg_H_35_Off_0.jpg,83.0,1,1,1,door_conf=0.73 | door_size=0.034 | center=0.86 | stairs_conf=0.98 | stairs_under=True | align=0.99
1-37BEACH137STREET,Side1_2022-07_P_DPskA_H_226_Off_0.jpg,58.4,1,0,0,door_conf=0.93 | door_size=0.014 | center=0.98 | no_stairs
1-37BEACH138STREET,Center_2022-07_P_iEK9w_H_253_Off_5.jpg,88.5,1,1,1,door_conf=0.95 | door_size=0.012 | center=0.98 | stairs_conf=0.99 | stairs_under=True | align=1.00
1-38BEACH133STREET,Side2_2018-07_P_9C7eg_H_98_Off_-10.jpg,38.0,1,0,0,door_conf=0.39 | door_size=0.024 | center=0.75 | no_stairs
1-40BEACH134STREET,Center_2007-09_P_v3f5Q_H_50_Off_0.jpg,85.2,1,1,1,door_conf=0.91 | door_size=0.017 | center=0.91 | stairs_conf=0.72 | stairs_under=True | align=1.00
1-40BEACH137STREET,Center_2022-07_P_DPskA_H_63_Off_-10.jpg,58.5,1,0,0,door_conf=0.99 | door_size=0.012 | center=0.87 | no_stairs
1-40BEACH142STREET,Center_2022-07_P_qQmPg_H_65_Off_-10.jpg,37.6,1,1,0,door_conf=0.38 | door_size=0.006 | center=0.91 | stairs_conf=0.89 | stairs_under=False | align=0.00
1-41BEACH137STREET,Side2_2022-07_P_DPskA_H_267_Off_0.jpg,49.8,1,0,0,door_conf=0.79 | door_size=0.008 | center=0.84 | no_stairs
1-42BEACH133STREET,Center_2018-07_P_9C7eg_H_68_Off_-10.jpg,55.6,1,0,0,door_conf=0.85 | door_size=0.019 | center=0.90 | no_stairs
1-44BEACH134STREET,Side1_2007-09_P_v3f5Q_H_37_Off_10.jpg,83.4,1,1,1,door_conf=0.83 | door_size=0.019 | center=0.94 | stairs_conf=0.73 | stairs_under=True | align=1.00
1-44BEACH138STREET,Center_2022-07_P_WafEw_H_62_Off_-10.jpg,0.0,0,0,0,no_door
1-44BEACH142STREET,Center_2022-07_P__tNAA_H_62_Off_-10.jpg,61.7,1,1,1,door_conf=0.30 | door_size=0.006 | center=0.83 | stairs_conf=0.97 | stairs_under=True | align=1.00
